Tweets,created_at,sentiment,score
اعتاب موجه كورونا جديده ومع وصول اللقاح مخاوف التمييز باعطاء اللقاح مناطق النظام واستخدامه اللقا,2021-04-30 11:26:49,neg,0.4433126151561737
تلقى عدد الشخصيات مديريه صحه ادلب والكوادر الطبيه وعناصر الدفاعالمدني اللقاح ضد كوفيد وذلك ح,2021-04-30 11:26:47,pos,0.3714374601840973
روح اخذ اللقاح يمعود تره اكول للسيد اخذ اللقاح واخلي يهينك,2021-04-30 11:16:29,neg,0.3855116665363312
كان لازم اخذت اللقاح الصيني بتشعر باي شيء شكلو مياه مقطره 😝,2021-04-30 10:57:40,neg,0.7090737223625183
الحدث الربع الاول ٪ زياده وفيات اللقاح المبلغ عنها,2021-04-30 08:39:10,neg,0.4509778320789337
سلالهكوروناالهنديه  مدى خطورتها اللقاح الفعال معها,2021-04-30 08:06:50,pos,0.46591654419898987
سلالهجديدهقدتغزوالعالم ايها العالم عندي لقاحا طبيعيا يحميكم الكورونا وسلالاته لمن يبادر ويحمي نفسه,2021-04-30 08:05:52,pos,0.4419703185558319
اسراءيل اعلى كيان بالعالم بتوزيع اللقاح شعبها اصدروا قرار فتره بعوده الحياه,2021-04-30 02:28:09,pos,0.5776997208595276
خاي اخذو اللقاح,2021-04-30 01:32:26,neg,0.45077648758888245
عارضتش كلامك الاول لانه كلامك وجه الصحه اللقاحات الصينيه اقل فاعليه غيرها لكنها ا,2021-04-30 00:37:02,neg,0.6533893942832947
والله افضلك ان تاخذي اللقاح وترتاحين,2021-04-30 00:21:36,pos,0.46889159083366394
وبالنسبه لموضوع الجرعه الثالثه يمكن فتره كلنا نحتاج لجرعه ثالثه اللقاح كان نوعه لتحفيز الاستجابه اكثر,2021-04-29 23:54:32,mixed,0.4470851719379425
موضوع الاجسام المضاده تريند اهبل طلعوه الشركات عشان يبيعوا  الفحص و الناس تعمل الفحوصات المن,2021-04-29 23:53:48,neg,0.6736955046653748
اليوم الثاني تلقي جرعه اللقاح الثانيه صداع قوي جدا وحراره مرتفعه واجهني هيك اعراض الجرعه الاولى اللهم نسا,2021-04-29 23:05:39,neg,0.4394850432872772
اليوم الثاني تلقي جرعه اللقاح الثانيه صداع قوي جدا وحراره مرتفعه واجهني هيك اعراض الجرعه الاولى اللهم نسالك العافيه,2021-04-29 23:02:29,neg,0.42281970381736755
اخذت لقاح استرازينيكا الرغن عزوف كثير ناس عنو بسبب الكلام اللي طالع وانتشار الاشاعات والاخبار الغلط عنو,2021-04-29 21:59:37,neg,0.8146228194236755
افتتاح المركز الخامس لاعطاء اللقاح النزول السياره  الاردن جريدهالدستورالاردنيه,2021-04-29 21:31:44,pos,0.6087623238563538
ليش يكون المقترحات التحفيزيه للحصول اللقاح بنودا تحمل التضييق مثل خصم ٣٠٪ مشتريات المءسسات المدني,2021-04-29 20:58:03,neg,0.733246386051178
مش الي بسال بصراحه اللقاح العدم,2021-04-29 20:42:48,neg,0.6598365902900696
احد الاصدقاء اصيب ب كورونا اخذ الجرعه الاولى اللقاح لماذا حدث 👇,2021-04-29 20:08:34,neg,0.539638876914978
سنجدد اللقاحات سنويا وهل داعي اخذ اللقاح طالما اصبت سابقا وتعافيت ومتى 👇زيدالسمكري كورونا,2021-04-29 20:03:14,neg,0.5596694350242615
زيت قزحه الف سلامه عليها ودير بالك لانك ماخد اللقاح جديد,2021-04-29 19:40:26,neg,0.6244162917137146
الاردن خامس مركز لاعطاء اللقاح داخل السياره  السوسنه,2021-04-29 19:28:34,pos,0.7032845616340637
عاجل خليه الازمه  شخصا تلقوا الجرعه الاولى اللقاح,2021-04-29 19:27:15,pos,0.4231812357902527
يمكن اخد اللقاح,2021-04-29 18:37:05,neg,0.487560898065567
افتتاح المركز الخامس لاعطاء اللقاح النزول السياره,2021-04-29 17:33:44,pos,0.6393427848815918
تركيا تشتري  مليون جرعه اللقاح الروسي سبوتنيك  فلسطين جريدهالقدس عاجل,2021-04-29 17:30:00,pos,0.5749419927597046
الف شخص تلقوا اللقاح بالزرقاء,2021-04-29 17:10:50,neg,0.3917357623577118
هاد الشي كان متوقع وهيك قرارات الوحيده الي بتخلي الى خايف يصير قرد ياخد اللقاح ويفكنا القرف الى عايشينه,2021-04-29 17:00:47,pos,0.4374776780605316
الف شخص تلقوا اللقاح بالزرقاء,2021-04-29 16:58:14,neg,0.3917357623577118
انا قايلك تجمع العلم كله انا بحكيلك جزءيه اللقاح الي سممت حالك يزم التحليلات العبقريه للاطباء ه,2021-04-29 16:41:44,pos,0.37386012077331543
مثل وزيرنا بالزبط حط التقصير حكومته مافيات اللقاح بالعالم,2021-04-29 16:24:59,neg,0.5798585414886475
الف شخص تلقوا اللقاح بالزرقاء,2021-04-29 16:14:52,neg,0.3917357623577118
اجمع مختصون وخبراء الشان العمالي والاقتصادي ان الاجراءات والتوصيات التحفيزيه اعلن عنها المركز الوطني للام,2021-04-29 14:51:50,mixed,0.4233962893486023
انا رح اتوكل عمل بعمل الى الله دمت بمارس الرياضه واكلي صحي وهيك شي احتمال الاصابه قليل دمت,2021-04-29 14:09:57,neg,0.4658074378967285
انا رح اتوكل عمل بعمل الى الله دمت بمارس الرياضه واكلي صحي وهيك شي احتمال الاصابه قليل و,2021-04-29 14:06:32,neg,0.4217015206813812
صح كلامك انا مو منكر اي مرض او اي شي الله لانه انكار ياتي الله كفر وانا اتجراء وانكر و,2021-04-29 14:00:23,mixed,0.34791481494903564
انا رح احاول قدر الامكان اوخذ اللقاح مو ل اي سبب اولا الله قال كنا معذبيهم وهم يستغفرون ثانيا ع,2021-04-29 13:39:00,pos,0.4272039234638214
الناس بتعرف انه تعداد سكان الهند بليون و ثلاثمءه و ستين مليون نسمه ففعليا شبه مستحيل انتاج كميات كافيه اللقاح بوقت سريع,2021-04-29 13:36:38,neg,0.36385059356689453
ليش يكون المقترحات التحفيزيه للحصول اللقاح بنودا تحمل التضييق مثل خصم ٣٠٪ مشتريات المءسسات الم,2021-04-29 12:56:42,neg,0.7536770105361938
اللقاح الحل للي احنا سجل وخوذ اللقاح او رح نضل عايشين بالقرف,2021-04-29 11:39:41,neg,0.470548540353775
الدنيا بتقلك اللقاحات الطريق للخروج الازمه واي مخاطر تم اثبات انها قليله وانت بني ادم قاعد بتجاكر بال,2021-04-29 11:01:44,pos,0.43367332220077515
اجمع مختصون وخبراء الشان العمالي والاقتصادي ان الاجراءات والتوصيات التحفيزيه اعلن عنها المركز الوطني,2021-04-29 10:45:57,mixed,0.42061424255371094
البلبيسي اللقاح يكون اجباريا ويتوقع موجه ثالثه لكورونا التفاصيل  الاردن عماننت اللقاح,2021-04-29 10:45:25,mixed,0.3798632323741913
يعالج مراكز واقسام كورونا المستشفيات الضفه الغربيه  مريضا وفيما يخص المواطنين تلقوا الط,2021-04-29 10:37:35,neg,0.5154153108596802
اوضح بايدن ان اكثر  مليون اميركي تلقوا اللقاح ضد فيروس كورونا خلال ال يوم رءاسته,2021-04-29 10:31:18,pos,0.43850183486938477
انا انو يكون اللقاح اجباري وكلامي لهدف اسمى انو بشهر سبعه نرجع لحياتنا الطبيعيه وتفتح الدنيا ونقدر نعيش,2021-04-29 10:02:33,pos,0.43621373176574707
عدد السكان  مليون تقريبا   الشعب الاردني اذا مش اكثر انصابو اصلا بالفيروس والباقي عم بتلقو اللقاح,2021-04-29 10:02:32,neg,0.4417068660259247
بالزبط هاد البحكي مابصير يجبروا الناس بهالطريقه الهمجيه واللي ومابياخده بيكون بسجن يعني بنهوا,2021-04-29 09:59:25,neg,0.8117774128913879
انا كنت افكر زيك مش بالضروره اللي بصير الهند يصير عنا الامور فالته عندهم كانت قدرو يعملو ك,2021-04-29 09:51:26,neg,0.39989766478538513
اذا الجماعه لسا ناويين ومصرين يبدو انهم يفتحو البلد بشهر سبعه صيف امن وبكل ثقه بقولو مطاعم كافيه لهذا ا,2021-04-29 09:48:00,neg,0.4580269157886505
الحدث مسءول صحي لبناني عمليه توزيع اللقاح ستكون معركه شاقه,2021-04-29 09:23:17,neg,0.4092276394367218
طلع عندها مشكله اللقاح عندها مرض مناعه ذاتيه,2021-04-29 08:59:40,neg,0.6657427549362183
توزيع اللقاح معركه شاقه لبنان,2021-04-29 08:49:48,mixed,0.34617748856544495
مليون اميركي تلقوا اللقاح ماءه يوم,2021-04-29 08:49:12,pos,0.367525190114975
مليون اميركي تلقوا اللقاح ماءه يوم اميركا خبرني,2021-04-29 08:15:39,pos,0.40839287638664246
توزيع اللقاح معركه شاقه لبنان خبرني,2021-04-29 08:08:45,neg,0.3754167854785919
ايها الهنود اناديكم تنقذوا انفسكم عليكم الا اخذ اللقاح الطبيعي يخرجكم الفيروس ويخرج العالم باسر,2021-04-29 07:15:10,pos,0.447356253862381
حاربتوا الشعب بمصدر رزقه مقابل المطعوم ممكن نتقبلها انه يكون خطه معتمده لانجاح عمليه اعطاء اللقاحات لملايين م,2021-04-29 06:50:25,neg,0.49721232056617737
استياء تخلف اكثر  الف مواطن تلقي اللقاح الوكيل الاخباري  الوكيلالاخباري,2021-04-29 06:41:50,neg,0.7331115007400513
عاجل استياء تخلف اكثر  الف مواطن تلقي اللقاح الوكيل الاخباري,2021-04-29 06:02:43,neg,0.5191910862922668
بالسلامه ا احمد ادعوك للتفاءل انا عملت الفحص  مرات واخذت اللقاح منتصف مارس الجرعه الثانيه والان مصاب 🤕 🤣🤣🤣,2021-04-29 05:24:13,neg,0.4000605344772339
طيب انت كطبيب عملت دراسه خاصه فيك او حاولت تعرف بنفسك مكونات اللقاح مجرد ناقل مواقع طبيه سهر,2021-04-29 04:49:37,neg,0.867368221282959
ذنب اي حد مانامش رقبه البنت واي حد اترعب رقبه البنت طب ايه الجديد اللي قالته البنت اي حاجه بتتقال يومي,2021-04-29 02:03:18,neg,0.8661434650421143
توصيات لجنه الاوبءه دستوريه وغير انسانيه انا عندي اجسام مضاده بنسبه ٢٣٥ يعني اكثر ناس اخذت اللقاح اي اسا,2021-04-29 02:00:34,neg,0.9059138894081116
طبعا الصين مسيطره فحص بالمطارات التزام بالكمامه نسبه لقاح اعلى فيش مقارنه,2021-04-30 23:41:45,mixed,0.4271925985813141
تكفي جرعه لقاح واحده لتحصين المتعافين كورونا,2021-04-30 22:31:39,neg,0.4127139747142792
منظمه الصحه العالميه تمنح لقاح موديرنا ترخيص الاستخدام الطارء,2021-04-30 21:57:36,pos,0.36171954870224
استرازينيكا قدمنا  مليون جرعه لقاح ضد كورونا الربع الاول,2021-04-30 21:51:14,pos,0.4313526749610901
منظمه الصحه العالميه تمنح لقاح موديرنا ترخيص الاستخدام الطارء صحيفهالراي الاردن الصحهالعالميه عاجل,2021-04-30 21:40:38,pos,0.5487889647483826
البلبيسي الاجسام المضاده المناعه الوحيده يكونها لقاح كورونا,2021-04-30 19:56:07,neg,0.4632018506526947
فايزر تسعى ترخيص استخدام لقاح كورونا الاطفال  الاردن جريدهالدستورالاردنيه,2021-04-30 17:40:23,neg,0.40525880455970764
فايزر تتجه لترخيص لقاح كورونا للاطفال  السوسنه,2021-04-30 17:16:27,neg,0.4724610149860382
فايزر تسعى ترخيص استخدام لقاح كورونا الاطفال رءياالاخباري فايزر لقاحكورونا الاطفال عاجل,2021-04-30 17:08:13,neg,0.44082412123680115
فايزر تسعى ترخيص استخدام لقاح كورونا الاطفال رءياالاخباري فايزر لقاحكورونا الاطفال عاجل,2021-04-30 17:05:43,neg,0.44082412123680115
فايزر تسعى ترخيص استخدام لقاح كورونا الاطفال رءياالاخباري فايزر لقاحكورونا الاطفال عاجل,2021-04-30 17:05:19,neg,0.44082412123680115
فايزر تتجه لترخيص لقاح كورونا للاطفال,2021-04-30 16:56:07,neg,0.480640709400177
عاجل البلبيسي لرءيا الاجسام المضاده المناعه الوحيده يكونها لقاح كورونا فيديو رءياالاخباري,2021-04-30 16:14:28,neg,0.3763507306575775
عاجل فايزر ترخيص لقاح كورونا الاطفال  صحيفهالراي,2021-04-30 16:09:05,pos,0.3905881345272064
دكتور شو رايك بقرار السعوديه عدم السماح لمتلقي لقاح سينوفارم دخول اراضيها والسماح لمتلقي استرازينيكا وفايزر,2021-04-30 16:05:23,neg,0.407850980758667
روسيا تنتج اول دفعه لقاح كوفيد للحيوانات  صحيفهالراي,2021-04-30 16:01:04,pos,0.6936516761779785
الحدث الصحه تستلم  الف جرعه لقاح سبوتنيك مقدمه الشيشان,2021-04-30 15:17:36,pos,0.4036071300506592
اخر مستجدات لقاح كورونا الدكتور محمد حسن الطراونه ضمن برنامج قهوه الص,2021-04-30 14:57:11,pos,0.5193028450012207
تكفي جرعه لقاح واحده لتحصين المتعافين كورونا,2021-04-30 14:47:03,neg,0.4127139747142792
الصحه تسلمنا  الف جرعه لقاح سبوتنيك الشيشاني كورونا عاجل,2021-04-30 14:29:12,pos,0.4566776752471924
سته اسءله حول التحديات تءخر عمليه تلقيح سكان الكره الارضيه رغم توافر التكنولوجيا والمعرفه العلميه والبنيه الص,2021-04-30 14:23:05,mixed,0.41420528292655945
استرازينيكا ضاعفت ارباحها الصافيه الربع الاول ومبيعات لقاحها بلغت  مليون دولار الاردن كورونا لقاحكورونا,2021-04-30 13:44:36,pos,0.42011910676956177
استرازينيكا ضاعفت ارباحها الصافيه الربع الاول ومبيعات لقاحها بلغت  مليون دولار الاردن كورونا لقاحكورونا,2021-04-30 13:43:27,pos,0.42011910676956177
عاجل الصحه توضح حول اعراض تلقي لقاح كورونا للمصابين بالفيروس,2021-04-30 12:38:38,pos,0.40318095684051514
الصحه توضح حول اعراض تلقي لقاح كورونا للمصابين بالفيروس  الاردن جريدهالدستورالاردنيه,2021-04-30 12:30:20,neg,0.361841082572937
الصحه توضح حول اعراض تلقي لقاح كورونا للمصابين بالفيروس,2021-04-30 12:20:06,neg,0.34657979011535645
احنا عندنا الوقايه لقاح استرازينيكا ولقاح صيني سينوفارم,2021-04-30 10:53:14,neg,0.4419393241405487
سءال استاذ عبد العزيز ماهو نوع لقاح عملته,2021-04-30 10:33:46,neg,0.8169815540313721
عندما تستمع لصوت العقل وتقتنع بان الوباء قاتل يفرق السيد والعامي اخذك للقاح امر جيد وسيشجع اتباعك ايض,2021-04-30 09:49:52,mixed,0.47406330704689026
الف شخص تلقوا الجرعه الاولى لقاح كورونا,2021-04-30 06:40:03,pos,0.46712526679039
باحثون جرعه لقاح واحده تكفي لتحصين المتعافين كورونا,2021-04-30 02:28:13,mixed,0.3760060667991638
خبر زاءف وغير مدعم بالحقاءق الصحيه المثبته حول وفاه متلقي لقاح كورونا الخريف اقرا تحقق مسبار,2021-04-29 23:15:19,neg,0.9429680705070496
خبر زاءف وغير مدعم بالحقاءق الصحيه المثبته حول وفاه متلقي لقاح كورونا الخريف اقرا تحقق مسبار,2021-04-29 23:00:24,neg,0.9429680705070496
الف شخص تلقوا الجرعه الاولى لقاح كورونا اخبارالاردن الاردن عمان,2021-04-29 22:29:54,pos,0.5174062848091125
حاله اصابه جديده بالجلطات بريطانيا لقاح استرا زينيكا,2021-04-29 22:25:21,neg,0.48063281178474426
مش هيك ناس ممكن تحتاج جرعه ثالثه لحمايه كامله و اعلى و غالبا كبار السن لقاح جيد و فعال,2021-04-29 22:16:43,mixed,0.3870748281478882
موديرنا ستوظف استثمارات لانتاج  مليارات جرعه لقاح كورونا,2021-04-29 20:49:39,neg,0.8145406246185303
خليه الازمه  شخصا تلقوا الجرعه الاولى لقاح كورونا,2021-04-29 20:48:03,pos,0.3487195074558258
عاجل بريطانيا  حاله اصابه جديده بجلطات دمويه تلقي لقاح استرازينيكا,2021-04-29 20:28:48,neg,0.548545777797699
تلقي  الف شخص الجرعه الاولى لقاح كورونا الاردن الاردناليوم الاردن,2021-04-29 20:24:58,pos,0.6241703629493713
الفا و شخصا تلقوا الجرعه الاولى لقاح كورونا الاردن  عاجل,2021-04-29 20:17:05,pos,0.3952724039554596
عاجل بريطانيا  حاله اصابه جديده بجلطات دمويه تلقي لقاح استرازينيكا,2021-04-29 20:04:27,neg,0.548545777797699
نسبه التجلطات لقاح استرازينكا تعادل👇,2021-04-29 20:01:05,neg,0.4582606256008148
خليه الازمه  الف شخص تلقوا الجرعه الاولى لقاح كورونا الاردن عاجل رءياالاخباري الاردن,2021-04-29 19:46:04,pos,0.5744131803512573
خليه الازمه  الف شخص تلقوا الجرعه الاولى لقاح كورونا الاردن  عاجل,2021-04-29 19:40:45,pos,0.3387264311313629
بتحس اللي اخذوا مطعوم  مفكرين حالهم اخذوا ال   خفوا علينا 😂,2021-04-30 23:28:48,neg,0.6333694458007812
بتحس اللي اخذوا مطعوم  مفكرين حالهم اخذوا ال   خفوا علينا 😂,2021-04-30 22:54:48,neg,0.6333694458007812
الصحه امامنا طريقان ثالث اعراض لمن يتلقى مطعوم كورونا مصاب,2021-04-30 20:45:39,neg,0.3897955119609833
انا برضع طبيعي مطلق وبنتي لسا عمرها ٤ شهور واخدت مطعوم الكورونا موديرنا,2021-04-30 18:37:24,neg,0.3950331211090088
اجابات الاستفسارات تشغل المجتمع صفحات التواصل الاجتماعي وحرصا منا توضيحها قمنا باعداد منشو,2021-04-30 13:14:25,mixed,0.4152984917163849
شو هالتوتر طب هيه معها شهاده مطعوم بمشوها انتي بتمشي,2021-04-29 20:28:59,neg,0.5331817865371704
سءال اذا فحص الكورونا للسفر مطلوب قبل ٧٢ ساعه فعليا انعمل قبل ٧٦ ساعه موعد الاقلاع بمشوه او العلم ا,2021-04-29 19:52:52,mixed,0.40963688492774963
خليه الازمه الزام جميع الموظفين العاملين القطاع الخاص الحاصلين مطعوم  بعمل فحص  يوم سبت وعلى نفق,2021-04-29 17:17:17,neg,0.5498377680778503
اي حدا بفكر رح نخلص الكورونا قريب بكون اهبل و اي حدا بفكر انه الحل بالحظر الغبي هاد و تسكير القطاعات بكون غبي الحل ان,2021-04-29 17:04:20,neg,0.4523811936378479
نسبه السكان المءويه تلقوا جرعه مطعوم واحده الاقل حسب بلدان مختاره التطعيمضدمرضكورونا,2021-04-29 10:13:43,neg,0.5078777074813843
السلام عليكم ورحمه الله وبركاته دكتورنا و شيخنا الحبيب تنصح باخذ مطعوم كورونا و امانه عندك ارجو,2021-04-29 08:00:03,pos,0.6964300870895386
تتصرف حصولك جرعه مطعوم كورونا كامله,2021-04-29 04:51:08,neg,0.5065515041351318
نسبه السكان المءويه تلقوا جرعه مطعوم واحده الاقل حسب بلدان مختاره التطعيمضدمرضكورونا,2021-04-29 01:42:30,neg,0.5078777074813843
اي حدا بفكر رح نخلص الكورونا قريب بكون اهبل و اي حدا بفكر انه الحل بالحظر الغبي هاد و تسكير القطاعات بكون غبي,2021-04-29 00:03:59,neg,0.5109923481941223
تتصرف حصولك جرعه مطعوم كورونا كامله الاردناليوم الاردن,2021-04-28 20:49:35,pos,0.518420934677124
وحده امها ماخده مطعوم سينوفارم الصيني ورايحه تسوي عمره وبس وصلت السعوديه مرجعينها لانه اللقاح الصيني بالسعوديه م,2021-04-28 19:51:50,neg,0.6320880055427551
طيب ليش بحترمو حريه الناس حكومه بتحب تسرق الشعب انا واحد الناس مش مقتنع مثلا الا بلقاح فايزر,2021-04-28 19:00:12,neg,0.4132935702800751
اه سجلي توخذي مطعوم استرازينكا,2021-04-28 18:56:40,neg,0.4770008623600006
مليون مطعوم بثواني اقوى مطعوم ابو مازن الغاءحظرال الاجراءاتالتخفيفيه,2021-04-28 18:12:55,pos,0.3707568049430847
الي مش ماخذ مطعوم يصلي برات الباب والى ماخذ جرعه بصلي بالصف الاخير ابو جرعتين داخل المحراب المنبر جاءز ✋ ع ا,2021-04-28 17:06:33,neg,0.3924132287502289
ترا عادي الي عنده واسطه بقدر يوخذ شهاده بلا مطعوم حكومه بتعاقط معاقطه,2021-04-28 17:01:42,neg,0.48455262184143066
لانه الموضوع عالمي مش بالاردن بدك تسافر بلد رح تحكي,2021-04-28 16:47:38,mixed,0.40345460176467896
اخي بدي اخذ مطعوم حر انا مش مقتنع حر انا اه جماعه الروس المربعه الاجراءاتالتخفيفيه,2021-04-28 15:33:14,neg,0.4819592535495758
انداري والله عاد والله انا الناس اللي حولي اخدت المطعوم وناس كبار بالسن كمان انا كمان ضد تنزع حقوق م,2021-04-28 15:23:56,mixed,0.36294493079185486
اخي بدي اخذ مطعوم حر انا مش مقتنع حر انا اه جماعه الروس المربعه الاجراءاتالتخفيفيه,2021-04-28 15:22:27,neg,0.4819592535495758
مهو دانا الحكومه بتشحد مطاعيم شحده والحكومه اي حدا عندو حساسيه طلعلو دور الحامل اللي برا بوصى يعطوها,2021-04-28 15:15:52,neg,0.5090874433517456
الهواري  الف تخلفوا اخذ مطعوم الجرعه الاولىبترا  عاجل بترا الاردن معالاردن الاردناولا مءويهالدوله,2021-04-28 14:16:07,pos,0.6105292439460754
اخوي محمد جمال صادق السلايمه ٥٠ سنه ياخذ الجرعه الثانيه مطعوم فايزر ضد فايروس كورونا قبل قليل المدينه الرياض,2021-04-28 14:01:44,pos,0.41822248697280884
اليوم موعدي للجرعه الثانيه المءجله مطعوم فايزر مركز صحي الفحيص وصلت الساعه واحده و خمسين دقيقه مو,2021-04-28 13:58:09,pos,0.43214112520217896
انا بالنسبه الي مو مقتنعه بالمطعوم يعني ماحدا بعرف شو الاعراض تاعته واي مطعوم بده ٤ سنين تجربه,2021-04-28 13:41:03,neg,0.8603441715240479
اليوم اكلتلك مطعوم الجرعه الثانيه كوفيد١٩ 😅🤣,2021-04-28 12:57:28,neg,0.5003437399864197
خليه الازمه يشترط للحصول تصاريح الحظر الجزءي والشامل اخذ مطعوم  جرعه اولى كاحد ادنى اعتبارا  حزيران,2021-04-28 12:46:13,neg,0.44753921031951904
عاجلالصحه تعمم تزويدها باسماء كوادرها يتلقوا مطعوم كورونا الاردن الصحه لقاحكورونا جاءحهكورونا,2021-04-28 12:34:21,pos,0.6087954640388489
عاجلالصحه تعمم تزويدها باسماء كوادرها يتلقوا مطعوم كورونا الاردن الصحه لقاحكورونا جاءحهكورونا,2021-04-28 12:33:46,pos,0.6087954640388489
محمد ٣ مليون او ٥ مليون او ٩ مليون ٩٠٠ الف الرقم مش مهم دامك غطيت جميع المواطني,2021-04-28 12:30:03,pos,0.35410287976264954
علاج الكورونا بصير ع حسابي الشخصي التطبيق لبعد سنه بطلع لحد يجبر حد ياخد مطعوم بالاضافه ان,2021-04-28 11:55:09,neg,0.43797969818115234
نتغلب الوباء مطعوم واضح لكل يتابع الوضع الوباءي البلدان المتصدره بنسب التطعيم الجميع التسجيل لتلقي ا,2021-04-28 11:49:10,pos,0.514185905456543
انا مش فاهمه بحطو هيك قرارات و الشعب الي مسجل اصلا لهلا اعطوه مطعوم,2021-04-28 11:47:31,neg,0.8635567426681519
مطعوم تطعيم كله واحد اخريتني انا اطعمهم,2021-04-28 11:45:25,neg,0.5250467658042908
طيب شو بالنسبه للي مناعتهم بتسمحلهم ياخدو المطعوم شو بالنسبه للناس الي عندهم حالات مرضيه و رح يقدرو ياخدوه,2021-04-28 11:43:54,neg,0.6187117695808411
نتغلب الوباء مطعوم واضح لكل يتابع الوضع الوباءي البلدان المتصدره بنسب التطعيم الجميع التس,2021-04-28 11:42:46,pos,0.4783526659011841
يعني هالاجراءات مشان نوخذ المطعوم و الاصل الدوله فش عندها مطعوم كافي,2021-04-28 11:41:15,neg,0.5594067573547363
خذو مطعوم او جاييلكو حظررررررررررررر مرتب,2021-04-28 11:23:29,pos,0.5020954608917236
وزاره الصحه تطلب المستشفيات تزويدها باعداد الكوادر الصحيه العامله لديها والتي تتلق مطعوم كورونا لغايه اللحظه عاجل صحيفه,2021-04-28 11:06:43,pos,0.38792532682418823
وزاره الصحه تطلب المستشفيات تزويدها باعداد الكوادر الصحيه العامله لديها والتي تتلق مطعوم كورونا لغايه اللحظه عاجل صحيفهالراي,2021-04-28 11:05:05,pos,0.3916115462779999
ننسى انه لسا العدد الاكبر سجل للمطعوم اصلا جديد تجاوز عدد المسجلين المليون وحاليا الدوله معطيه اكثر ٦٠٠,2021-04-28 10:55:07,neg,0.3610571026802063
